,firstName,lastName,commonName,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,alternatePositions_0_label,playerAbilities_0_label,playerAbilities_0_description,playerAbilities_0_type_label,playerAbilities_1_label,playerAbilities_1_description,playerAbilities_1_type_label,playerAbilities_2_label,playerAbilities_2_description,playerAbilities_2_type_label,playerAbilities_3_label,playerAbilities_3_description,playerAbilities_3_type_label,playerAbilities_4_label,playerAbilities_4_description,playerAbilities_4_type_label,playerAbilities_5_label,playerAbilities_5_description,playerAbilities_5_type_label,playerAbilities_6_label,playerAbilities_6_description,playerAbilities_6_type_label,nationality,team_name,position_name,position_positionType_name,acceleration,agility,jumping,stamina,strength,aggression,balance,ballControl,composure,crossing,defensiveAwareness,dribbling,finishing,freeKickAccuracy,gkDiving,gkHandling,gkKicking,gkPositioning,gkReflexes,headingAccuracy,longPassing,penalties,positioning,reactions,shortPassing,shotPower,standingTackle,vision,volleys,alternatePositions_1_label,alternatePositions_2_label
230,Francisco Román,Alarcón Suárez,Isco,176,4,4,1,LALIGA EA SPORTS,79,Left Midfielder,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,Spain,Real Betis,Center Attacking Midfielder,Midfielder,67,84,63,67,55,63,84,86,87,84,58,86,80,76,10,8,12,15,6,55,83,78,85,80,86,78,62,88,71,Center Midfielder,
231,Bradley,Barcola,,188,4,4,1,Ligue 1 McDonald's,70,Right Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,,,,,,,,,,,,,France,Paris SG,Left Wing,Attack,88,88,79,74,64,60,64,84,83,81,34,86,80,64,8,8,15,6,6,69,64,66,84,82,83,74,39,79,73,Left Midfielder,
232,Moussa,Diaby,,170,4,3,2,ROSHN Saudi League,67,Right Wing,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Quick Step+,Significantly faster acceleration during Explosive Sprint,Play Style Plus,,,,,,,,,,France,Al Ittihad,Right Midfielder,Midfielder,95,92,58,82,37,62,93,84,79,80,48,89,79,56,8,9,8,8,14,41,74,60,79,81,79,74,36,80,67,,
233,Daniel,Vivian Moreno,Vivian,183,2,2,1,LALIGA EA SPORTS,83,,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,,,,,,,,,,,,,,,,Spain,Athletic Club,Center Back,Defense,76,66,89,77,83,87,73,76,72,46,83,70,52,22,9,8,12,10,8,80,75,67,30,84,79,62,85,60,51,,
234,Ademola,Lookman,,174,4,4,1,Serie A Enilive,71,Center Attacking Midfielder,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,Nigeria,Bergamo Calcio,Striker,Attack,90,93,82,73,63,68,81,88,80,66,30,89,87,56,12,12,9,15,6,71,62,62,87,86,80,86,23,80,80,,
235,Riyad,Mahrez,,179,5,4,2,ROSHN Saudi League,67,Right Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Algeria,Al Ahli,Right Midfielder,Midfielder,81,91,71,79,60,48,90,89,81,81,45,87,80,80,15,9,13,11,6,56,74,73,83,81,82,82,34,82,76,,
236,Alexander,Sørloth,,195,3,4,2,LALIGA EA SPORTS,94,Right Wing,Power Shot,Faster power shots with increased speed,Play Style,Precision Header,Performs headers with increased accuracy and power.,Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Enforcer,Performs dribble Shoulder Challenges and Shielding with increased effectiveness.,Play Style,,,,,,,Norway,Atlético de Madrid,Striker,Attack,72,56,91,84,90,74,55,82,83,66,39,77,85,60,15,12,8,15,8,83,59,70,84,83,78,86,23,73,79,Right Midfielder,
237,Francesco,Acerbi,,192,3,3,2,Serie A Enilive,88,,Precision Header,Performs headers with increased accuracy and power.,Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Bruiser,Stronger physical tackles,Play Style,Intercept+,Greater reach and possession retention in interceptions,Play Style Plus,,,,Italy,Lombardia FC,Center Back,Defense,61,39,85,73,84,82,34,72,86,34,89,65,37,56,11,9,9,13,11,84,82,61,20,88,79,75,87,65,39,,
238,Stefan,de Vrij,,189,2,3,1,Serie A Enilive,78,,Bruiser,Stronger physical tackles,Play Style,,,,,,,,,,,,,,,,,,,Holland,Lombardia FC,Center Back,Defense,63,60,81,70,74,79,60,74,85,49,88,66,25,36,8,10,7,14,13,82,74,41,31,85,83,65,87,70,27,,
239,Willi,Orban,,186,2,3,1,Bundesliga,89,,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Bruiser,Stronger physical tackles,Play Style,Block+,Greater reach and success in blocking,Play Style Plus,,,,,,,,,,,,,Hungary,RB Leipzig,Center Back,Defense,48,48,89,74,85,86,52,59,73,39,88,52,44,32,15,12,15,10,6,86,68,41,43,84,74,45,88,44,31,,
240,Adrien,Rabiot,,191,3,3,2,Serie A Enilive,80,Center Midfielder,Precision Header,Performs headers with increased accuracy and power.,Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,,,,,,,,,,,,,France,Milano FC,Center Attacking Midfielder,Midfielder,75,69,90,94,82,77,69,84,85,78,72,81,79,59,9,12,9,7,15,83,80,69,88,84,85,83,79,84,76,,
241,Eduardo,Camavinga,,185,4,3,2,LALIGA EA SPORTS,77,Center Defensive Midfielder,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Block,Increased reach and success in blocking,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,Bruiser,Stronger physical tackles,Play Style,,,,,,,,,,France,Real Madrid,Center Midfielder,Midfielder,81,82,82,84,79,79,81,86,84,77,76,84,64,59,12,6,8,12,12,64,84,62,73,82,86,75,82,83,59,Left Back,
242,Dominik,Szoboszlai,,186,4,4,1,Premier League,74,Center Midfielder,Power Shot,Faster power shots with increased speed,Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,,,,Hungary,Liverpool,Center Attacking Midfielder,Midfielder,76,78,76,89,69,75,68,84,82,83,65,83,79,83,10,10,13,10,6,65,83,83,83,83,85,89,72,83,81,,
243,Henrikh,Mkhitaryan,,177,4,5,1,Serie A Enilive,75,,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,Armenia,Lombardia FC,Center Midfielder,Midfielder,79,81,77,84,67,82,80,86,85,76,71,82,78,69,5,11,14,5,7,68,82,72,83,83,85,81,74,84,79,,
244,Lucas,Torreira,,166,3,3,1,Trendyol Süper Lig,60,Center Midfielder,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Tiki Taka,Accurate first-time Ground Passes,Play Style,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,Uruguay,Galatasaray,Center Defensive Midfielder,Midfielder,80,82,76,92,69,88,83,81,84,72,84,79,71,72,5,5,13,7,9,62,79,48,76,84,83,80,82,79,68,,
245,Giovanni,Di Lorenzo,,183,3,4,1,Serie A Enilive,82,Center Back,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,,,,,,,Italy,SSC Napoli,Right Back,Defense,83,76,84,90,74,79,74,78,74,79,79,76,72,66,8,10,8,10,7,72,72,60,74,80,76,75,81,68,63,Right Midfielder,
246,Morten,Hjulmand,,185,3,4,1,Liga Portugal,78,Center Midfielder,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Block,Increased reach and success in blocking,Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,,,,Denmark,Sporting CP,Center Defensive Midfielder,Midfielder,69,70,79,91,81,83,74,80,82,72,79,76,76,61,11,6,10,11,6,68,80,54,78,81,81,82,82,82,62,,
247,Dejan,Kulusevski,,186,4,3,2,Premier League,80,Right Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,,,,Sweden,Spurs,Center Midfielder,Midfielder,77,77,75,91,80,74,72,86,85,84,62,88,82,68,14,5,10,10,5,52,78,70,83,87,86,78,66,86,83,Center Attacking Midfielder,
248,Mikel,Merino Zazón,Mikel Merino,189,3,3,2,Premier League,83,Striker,Power Shot,Faster power shots with increased speed,Play Style,Precision Header,Performs headers with increased accuracy and power.,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,,,,Spain,Arsenal,Center Midfielder,Midfielder,64,63,85,82,78,83,63,84,81,77,78,82,80,69,9,12,9,13,14,87,80,70,81,84,84,85,82,80,58,,
249,Ayoze,Pérez Gutiérrez,Ayoze,178,4,4,1,LALIGA EA SPORTS,66,Center Attacking Midfielder,Acrobatic,"Perform volleys with increased accuracy, acrobatic volley animations",Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,Spain,Villarreal CF,Striker,Attack,87,80,85,70,60,76,81,83,81,80,61,84,86,60,12,12,11,14,8,81,75,78,86,83,84,81,61,82,80,,
250,Iñaki,Williams Arthuer,Iñaki Williams,186,4,3,1,LALIGA EA SPORTS,80,Striker,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Power Shot,Faster power shots with increased speed,Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,Ghana,Athletic Club,Right Midfielder,Midfielder,93,78,95,88,84,76,62,80,78,78,42,83,82,58,14,15,14,10,13,80,65,68,85,83,76,86,48,76,79,Right Wing,
251,Pedro António,Pereira Gonçalves,Pedro Gonçalves,173,4,4,1,Liga Portugal,78,Left Midfielder,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Tiki Taka,Accurate first-time Ground Passes,Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,Portugal,Sporting CP,Center Attacking Midfielder,Midfielder,79,82,72,81,62,64,78,84,85,83,63,84,84,81,15,11,15,7,8,59,80,82,85,83,85,78,65,84,79,Center Midfielder,
252,Joan,García Pons,Joan García,191,1,3,1,LALIGA EA SPORTS,79,,Cross Claimer,"Unique punching animations, powerful punches, faster crosses coverage",Play Style,,,,,,,,,,,,,,,,,,,Spain,FC Barcelona,Goalkeeper,Defense,48,59,64,35,59,30,42,28,59,13,7,17,6,12,81,82,77,83,86,12,49,18,6,77,48,58,13,54,7,,
253,Alejandro,Remiro Gargallo,Álex Remiro,191,1,4,1,LALIGA EA SPORTS,79,,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Far Throw,Unique goalkeeper throw animations with longer throw distance,Play Style,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,,,,,,,,,,,,,Spain,Real Sociedad,Goalkeeper,Defense,44,70,69,42,73,34,40,26,55,12,14,19,13,17,83,78,80,84,84,13,29,24,11,78,36,60,17,44,15,,
254,Dávid,Hancko,,188,2,3,2,LALIGA EA SPORTS,82,Left Back,Precision Header,Performs headers with increased accuracy and power.,Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,,,,,,,,,,Slovakia,Atlético de Madrid,Center Back,Defense,76,73,85,74,87,77,55,78,77,66,83,73,63,72,14,12,6,7,14,82,76,69,69,84,80,76,82,68,42,Left Midfielder,
255,Anthony,Gordon,,183,3,3,1,Premier League,72,Right Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,,,,England,Newcastle Utd,Left Wing,Attack,89,78,75,87,61,74,71,83,81,81,49,85,81,74,5,6,14,7,8,59,66,70,82,83,79,78,56,81,74,Left Midfielder,
256,Lucas,Chevalier,,189,1,3,1,Ligue 1 McDonald's,84,,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,Rush Out,"Unique reflex saves, better close shot reads, faster rush",Play Style,,,,,,,,,,,,,,,,France,Paris SG,Goalkeeper,Defense,52,38,63,41,53,23,38,17,45,12,10,14,9,14,84,79,73,80,86,12,34,16,7,80,38,55,10,47,9,,
257,Mateo,Kovačić,,178,3,4,1,Premier League,77,Center Defensive Midfielder,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,,,,,,,,,,,,,,,,Croatia,Manchester City,Center Midfielder,Midfielder,70,76,62,77,68,77,75,85,84,73,75,84,68,70,9,5,6,7,7,42,84,59,76,84,86,81,77,82,76,Center Attacking Midfielder,
258,Aleix,García Serrano,Aleix García,173,3,3,1,Bundesliga,68,Center Defensive Midfielder,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Tiki Taka,Accurate first-time Ground Passes,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Press Proven+,"Exceptional close control at jog speed, shields ball more effectively",Play Style Plus,,,,,,,Spain,Leverkusen,Center Midfielder,Midfielder,67,79,65,68,65,65,85,87,84,83,79,84,75,80,16,8,9,10,7,51,88,60,80,82,85,78,77,86,66,,
259,Thomas,Partey,,185,3,3,1,LALIGA EA SPORTS,77,Center Midfielder,Pinged Pass,Faster ground passes without affecting receiver's trapping,Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Long Throw,Powerful throw-ins for greater distance,Play Style,,,,,,,,,,,,,Ghana,Villarreal CF,Center Defensive Midfielder,Midfielder,53,63,74,76,84,84,50,81,85,74,80,80,66,67,11,13,9,9,7,68,84,49,70,80,85,85,84,80,56,Right Back,
260,Stanislav,Lobotka,,170,3,4,1,Serie A Enilive,68,Center Defensive Midfielder,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,Slovakia,SSC Napoli,Center Midfielder,Midfielder,76,75,65,88,61,76,85,85,77,75,78,81,68,55,10,7,16,13,14,45,85,56,76,81,85,69,81,82,43,,
261,Jeremie,Frimpong,,172,3,3,1,Premier League,65,Right Midfielder,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,,,,,,,Holland,Liverpool,Right Back,Defense,95,89,68,85,47,75,88,83,76,82,74,85,66,47,12,7,8,13,14,54,63,43,82,84,78,62,71,73,58,Right Wing,
262,Luka,Modrić,,172,4,4,1,Serie A Enilive,67,Center Attacking Midfielder,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,Croatia,Milano FC,Center Midfielder,Midfielder,72,89,66,69,58,60,90,88,91,86,70,84,68,78,13,9,7,14,9,55,86,83,76,79,87,79,70,88,76,Center Defensive Midfielder,
263,Sadio,Mané,,174,4,4,1,ROSHN Saudi League,69,Right Midfielder,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,,,,,,,,,,Senegal,Al Nassr,Left Midfielder,Midfielder,81,86,86,80,72,75,89,85,83,77,42,84,81,69,10,10,15,7,14,78,71,75,83,84,81,85,42,82,75,Striker,Left Wing
264,Oliver,Baumann,,187,1,2,1,Bundesliga,82,,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,Deflector,"Unique deflection animations, powerful parries to safer areas",Play Style,,,,,,,,,,,,,,,,Germany,TSG Hoffenheim,Goalkeeper,Defense,37,45,66,39,69,32,43,17,52,14,15,19,11,11,83,81,78,80,83,16,30,22,10,82,34,59,18,44,11,,
265,Matheus Santos,Carneiro da Cunha,Matheus Cunha,183,4,4,1,Premier League,76,Left Wing,Power Shot,Faster power shots with increased speed,Play Style,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Trickster,Performs unique flick Skill Moves,Play Style,,,,,,,Brazil,Man Utd,Center Attacking Midfielder,Midfielder,78,76,79,82,73,72,74,87,83,79,43,85,85,70,8,7,13,13,11,68,75,76,80,82,81,87,41,81,78,Striker,
266,Martín,Zubimendi Ibáñez,Zubimendi,180,3,4,1,Premier League,74,Center Midfielder,Intercept,Increased reach and possession retention in interceptions,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,,,,,,,,,,,,,,,,Spain,Arsenal,Center Defensive Midfielder,Midfielder,67,74,71,85,67,74,75,83,83,70,81,77,69,56,7,6,12,14,13,65,83,45,79,84,83,65,82,83,49,,
267,Matz,Sels,,188,1,2,1,Premier League,75,,Far Reach,"Unique far dive animations, better long shot saves",Play Style,,,,,,,,,,,,,,,,,,,Belgium,Nott'm Forest,Goalkeeper,Defense,37,36,65,26,67,29,34,33,62,16,14,19,16,17,82,80,79,83,83,14,53,22,18,80,48,59,15,58,19,,
268,Pablo Martín,Páez Gavira,Gavi,173,3,3,1,LALIGA EA SPORTS,70,Center Attacking Midfielder,Tiki Taka,Accurate first-time Ground Passes,Play Style,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,,,,Spain,FC Barcelona,Center Midfielder,Midfielder,77,86,62,84,58,85,90,85,77,69,59,86,71,47,8,10,11,7,13,42,82,51,81,86,84,56,78,83,49,,
269,Eberechi,Eze,,178,4,4,1,Premier League,67,Left Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Power Shot,Faster power shots with increased speed,Play Style,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,England,Arsenal,Center Attacking Midfielder,Midfielder,73,87,71,76,68,58,89,87,87,76,40,87,79,77,10,12,9,14,10,56,78,76,80,82,83,81,58,83,79,Striker,
270,Alejandro,Balde Martínez,Balde,175,3,4,2,LALIGA EA SPORTS,69,Left Midfielder,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,,,,,,,Spain,FC Barcelona,Left Back,Defense,90,81,83,77,68,47,77,81,64,82,77,80,51,28,5,8,7,10,13,71,72,43,65,80,82,55,80,72,32,,
271,İlkay,Gündoğan,,180,3,4,1,Trendyol Süper Lig,80,Center Defensive Midfielder,Tiki Taka,Accurate first-time Ground Passes,Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,,,,,,,,,,,,,Germany,Galatasaray,Center Midfielder,Midfielder,54,65,60,67,66,70,74,84,84,77,77,81,79,80,11,14,5,5,13,50,85,79,78,84,85,81,78,83,75,Center Attacking Midfielder,
272,Loïs,Openda,,175,3,4,1,Serie A Enilive,79,,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Acrobatic,"Perform volleys with increased accuracy, acrobatic volley animations",Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,,,,,,,Belgium,Juventus,Striker,Attack,94,83,93,83,80,74,85,81,80,69,29,79,84,53,9,8,10,8,13,79,59,74,83,84,75,85,23,69,77,,
273,João Maria,Palhinha Gonçalves,Palhinha,190,2,4,1,Premier League,83,Center Midfielder,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Bruiser+,Even greater strength in physical tackles,Play Style Plus,,,,,,,,,,,,,,,,Portugal,Spurs,Center Defensive Midfielder,Midfielder,54,51,83,79,86,91,50,76,84,60,83,75,66,45,14,10,8,7,7,81,77,57,69,79,77,81,86,71,55,,
274,Julian,Brandt,,185,4,4,1,Bundesliga,83,Center Midfielder,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Tiki Taka,Accurate first-time Ground Passes,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,,,,Germany,Borussia Dortmund,Center Attacking Midfielder,Midfielder,67,83,69,85,72,44,82,85,85,78,49,84,77,78,11,16,11,8,9,54,83,55,82,82,85,82,29,86,81,,
275,Jarrod,Bowen,,175,4,4,2,Premier League,70,Striker,Precision Header,Performs headers with increased accuracy and power.,Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,England,West Ham,Right Midfielder,Midfielder,78,79,84,83,66,62,81,82,80,80,49,82,84,70,14,8,14,10,7,82,73,75,83,84,80,80,41,79,73,Right Wing,
276,Murillo,Costa dos Santos,Murillo,180,2,3,2,Premier League,75,,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Block,Increased reach and success in blocking,Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Bruiser,Stronger physical tackles,Play Style,,,,,,,,,,Brazil,Nott'm Forest,Center Back,Defense,83,65,95,70,90,81,63,73,79,53,83,69,33,56,14,9,14,12,13,79,77,52,40,82,76,72,83,62,35,,
277,Boubacar,Kamara,,184,3,3,1,Premier League,68,Center Midfielder,Block,Increased reach and success in blocking,Play Style,,,,,,,,,,,,,,,,,,,France,Aston Villa,Center Defensive Midfielder,Midfielder,62,66,78,81,79,80,72,80,85,64,84,73,47,47,8,12,8,6,11,72,77,63,62,81,84,67,86,75,28,,
278,Nathan,Aké,,180,2,3,2,Premier League,75,Left Back,,,,,,,,,,,,,,,,,,,,,,Holland,Manchester City,Center Back,Defense,73,67,86,64,76,80,68,79,79,63,84,73,48,59,10,7,7,16,10,82,75,53,51,84,80,64,84,68,52,Left Midfielder,
279,Ferran,Torres García,Ferran Torres,184,4,4,1,LALIGA EA SPORTS,77,Right Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,,,,,,,,,,,,,,,,Spain,FC Barcelona,Left Wing,Attack,86,85,84,72,69,54,78,83,82,81,35,84,84,60,12,9,11,15,12,75,77,74,82,81,82,79,24,79,74,Striker,Left Midfielder
280,Angelo,Stiller,,183,3,3,2,Bundesliga,77,Center Midfielder,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Tiki Taka+,Even greater accuracy in first-time Ground Passes,Play Style Plus,,,,,,,,,,Germany,VfB Stuttgart,Center Defensive Midfielder,Midfielder,68,82,72,80,67,71,80,85,84,77,77,83,49,68,7,14,5,9,9,67,83,42,65,85,88,73,78,87,51,,
